,ensembl
634,ENSG00000198435.3
635,ENSG00000198467.12
636,ENSG00000198502.5
637,ENSG00000198513.10
638,ENSG00000198668.9
639,ENSG00000198682.11
640,ENSG00000198712.1
641,ENSG00000198719.8
642,ENSG00000198727.2
643,ENSG00000198729.4
644,ENSG00000198763.3
645,ENSG00000198768.9
646,ENSG00000198794.10
647,ENSG00000198804.2
648,ENSG00000198805.10
649,ENSG00000198840.2
650,ENSG00000198841.3
651,ENSG00000198848.11
652,ENSG00000198886.2
653,ENSG00000198888.2
654,ENSG00000198889.4
655,ENSG00000198899.2
656,ENSG00000198932.11
657,ENSG00000198938.2
658,ENSG00000203666.11
659,ENSG00000203772.7
660,ENSG00000203867.7
661,ENSG00000204052.4
662,ENSG00000204344.13
663,ENSG00000204396.9
664,ENSG00000204520.11
665,ENSG00000204569.8
666,ENSG00000204711.7
667,ENSG00000204822.6
668,ENSG00000204856.10
669,ENSG00000204954.8
670,ENSG00000204959.4
671,ENSG00000204991.9
672,ENSG00000205246.7
673,ENSG00000205364.3
674,ENSG00000205485.12
675,ENSG00000205710.3
676,ENSG00000205744.8
677,ENSG00000206535.6
678,ENSG00000212907.2
679,ENSG00000213025.2
680,ENSG00000213066.10
681,ENSG00000213185.5
682,ENSG00000213213.12
683,ENSG00000213214.4
684,ENSG00000213300.5
685,ENSG00000213462.4
686,ENSG00000213672.6
687,ENSG00000213700.3
688,ENSG00000213760.9
689,ENSG00000213780.9
690,ENSG00000213866.3
691,ENSG00000213886.3
692,ENSG00000213928.7
693,ENSG00000214300.7
694,ENSG00000214455.4
695,ENSG00000214578.5
696,ENSG00000214717.8
697,ENSG00000214814.5
698,ENSG00000214941.6
699,ENSG00000214944.8
700,ENSG00000214975.4
701,ENSG00000215006.4
702,ENSG00000215271.7
703,ENSG00000219200.9
704,ENSG00000219481.9
705,ENSG00000220563.1
706,ENSG00000221923.7
707,ENSG00000223496.2
708,ENSG00000223551.1
709,ENSG00000223825.5
710,ENSG00000224578.4
711,ENSG00000225031.1
712,ENSG00000225434.2
713,ENSG00000225828.1
714,ENSG00000226015.2
715,ENSG00000226415.1
716,ENSG00000226976.3
717,ENSG00000227097.5
718,ENSG00000227124.7
719,ENSG00000228232.1
720,ENSG00000228253.1
721,ENSG00000228589.3
722,ENSG00000228716.5
723,ENSG00000228929.1
724,ENSG00000229237.2
725,ENSG00000229474.5
726,ENSG00000229638.1
727,ENSG00000229644.6
728,ENSG00000230438.6
729,ENSG00000230795.2
730,ENSG00000231107.1
731,ENSG00000231742.4
732,ENSG00000232229.4
733,ENSG00000232472.1
734,ENSG00000232677.5
735,ENSG00000233426.3
736,ENSG00000234009.1
737,ENSG00000234076.1
738,ENSG00000234127.7
739,ENSG00000234498.3
740,ENSG00000234664.1
741,ENSG00000234742.1
742,ENSG00000234797.5
743,ENSG00000235043.3
744,ENSG00000235098.7
745,ENSG00000235109.6
746,ENSG00000235173.5
747,ENSG00000235174.1
748,ENSG00000235508.3
749,ENSG00000235587.2
750,ENSG00000235655.3
751,ENSG00000235947.1
752,ENSG00000236060.2
753,ENSG00000236397.3
754,ENSG00000236675.1
755,ENSG00000237541.3
756,ENSG00000237651.5
757,ENSG00000238103.4
758,ENSG00000240875.4
759,ENSG00000241186.6
760,ENSG00000241741.1
761,ENSG00000242071.3
762,ENSG00000243660.8
763,ENSG00000243896.3
764,ENSG00000244687.10
765,ENSG00000245937.6
766,ENSG00000247077.5
767,ENSG00000247315.3
768,ENSG00000247516.4
769,ENSG00000247627.2
770,ENSG00000249119.1
771,ENSG00000249855.1
772,ENSG00000249936.3
773,ENSG00000250312.5
774,ENSG00000250470.1
775,ENSG00000250510.6
776,ENSG00000253305.2
777,ENSG00000253537.2
778,ENSG00000253570.1
779,ENSG00000253958.1
780,ENSG00000254470.2
781,ENSG00000255198.4
782,ENSG00000255642.1
783,ENSG00000256060.2
784,ENSG00000256618.2
785,ENSG00000257218.4
786,ENSG00000258102.2
787,ENSG00000258289.6
788,ENSG00000258484.3
789,ENSG00000259820.1
790,ENSG00000260459.2
791,ENSG00000261150.2
792,ENSG00000262686.1
793,ENSG00000263422.1
794,ENSG00000263465.3
795,ENSG00000263753.5
796,ENSG00000267119.1
797,ENSG00000267454.4
798,ENSG00000267796.6
799,ENSG00000267809.1
800,ENSG00000269028.3
801,ENSG00000269964.2
802,ENSG00000271745.1
803,ENSG00000271858.4
804,ENSG00000272636.3
805,ENSG00000273340.1
806,ENSG00000273706.3
807,ENSG00000273820.1
808,ENSG00000274286.1
809,ENSG00000276171.1
810,ENSG00000277149.3
811,ENSG00000277203.1
812,ENSG00000277632.1
813,mir100
814,mir101-1
815,mir101-2
816,mir10a
817,mir10b
818,mir1178
819,mir1179
820,mir1180
821,mir1181
822,mir1185-1
823,mir1185-2
824,mir1197
825,mir1224
826,mir1225
827,mir1226
828,mir1227
829,mir1228
830,mir1229
831,mir1234
832,mir1237
833,mir1238
834,mir1243
835,mir1245b
836,mir1247
837,mir1249
838,mir1254-2
839,mir1255a
840,mir1256
841,mir125a
842,mir126
843,mir1260b
844,mir1262
845,mir1263
846,mir1269b
847,mir127
848,mir1271
849,mir1273c
850,mir1273h
851,mir1275
852,mir1277
853,mir1278
854,mir1284
855,mir1285-1
856,mir1287
857,mir1288
858,mir1291
859,mir1292
860,mir1294
861,mir1295b
862,mir1296
863,mir1301
864,mir1302-3
865,mir1303
866,mir1305
867,mir1306
868,mir134
869,mir1343
870,mir136
871,mir139
872,mir140
873,mir142
874,mir143
875,mir144
876,mir1468
877,mir146b
878,mir147b
879,mir148b
880,mir151b
881,mir153-1
882,mir153-2
883,mir1537
884,mir1538
885,mir154
886,mir155
887,mir181b1
888,mir181b2
889,mir181d
890,mir182
891,mir183
892,mir184
893,mir185
894,mir186
895,mir188
896,mir18b
897,mir1909
898,mir190b
899,mir1910
900,mir1912
901,mir1914
902,mir1915
903,mir192
904,mir193b
905,mir194-1
906,mir194-2
907,mir196b
908,mir1976
909,mir199a1
910,mir199a2
911,mir199b
912,mir200c
913,mir210
914,mir2110
915,mir2114
916,mir2116
917,mir216b
918,mir22
919,mir2276
920,mir2277
921,mir2278
922,mir23a
923,mir23b
924,mir23c
925,mir2467
926,mir25
927,mir26b
928,mir27a
929,mir28
930,mir296
931,mir299
932,mir29c
933,mir301b
934,mir302b
935,mir302d
936,mir3064
937,mir3065
938,mir3074
939,mir30a
940,mir30c1
941,mir30c2
942,mir30d
943,mir30e
944,mir3115
945,mir3116-2
946,mir3117
947,mir3120
948,mir3124
949,mir3125
950,mir3126
951,mir3129
952,mir3131
953,mir3132
954,mir3133
955,mir3136
956,mir3137
957,mir3138
958,mir3139
959,mir3140
960,mir3143
961,mir3146
962,mir3149
963,mir3150b
964,mir3154
965,mir3157
966,mir3158-1
967,mir3158-2
968,mir3161
969,mir3164
970,mir3166
971,mir3170
972,mir3173
973,mir3175
974,mir3176
975,mir3178
976,mir3180-4
977,mir3182
978,mir3183
979,mir3187
980,mir3188
981,mir3189
982,mir3190
983,mir3191
984,mir3193
985,mir3194
986,mir3198-2
987,mir3199-1
988,mir3199-2
989,mir3200
990,mir3202-1
991,mir320b1
992,mir320b2
993,mir320c1
994,mir320c2
995,mir320d1
996,mir320d2
997,mir320e
998,mir326
999,mir328
1000,mir329-1
1001,mir329-2
1002,mir337
1003,mir338
1004,mir340
1005,mir346
1006,mir34a
1007,mir34b
1008,mir3591
1009,mir3605
1010,mir3606
1011,mir3609
1012,mir361
1013,mir3610
1014,mir3611
1015,mir3613
1016,mir3615
1017,mir3617
1018,mir3618
1019,mir3619
1020,mir3620
1021,mir3622a
1022,mir3622b
1023,mir3646
1024,mir3650
1025,mir3651
1026,mir3652
1027,mir3653
1028,mir3655
1029,mir3657
1030,mir3659
1031,mir3664
1032,mir3677
1033,mir3678
1034,mir3680-2
1035,mir3681
1036,mir3682
1037,mir3684
1038,mir3688-2
1039,mir369
1040,mir3691
1041,mir3692
1042,mir370
1043,mir371b
1044,mir373
1045,mir374c
1046,mir375
1047,mir376a2
1048,mir376b
1049,mir377
1050,mir378d1
1051,mir378d2
1052,mir378f
1053,mir379
1054,mir380
1055,mir381
1056,mir382
1057,mir3909
1058,mir3910-1
1059,mir3911
1060,mir3912
1061,mir3913-1
1062,mir3913-2
1063,mir3914-1
1064,mir3917
